,acc,site,main_class,sub_class_1,sub_class_all,binding_sites,area_a2,alpha_seeds,beta_seeds,hydrophobicity,pdbs
18,P21589,2,Enzymes,Hydrolases,3.1.3,"[170, 362]","[1005.413205351019, 3902.989630890233]","[51, 203]","[518, 1264]","[3.7, -43.999]","['4H1S', '4H1Y', '4H2B', '4H2F', '4H2G', '4H2I', '6HXW', '6S7F', '6S7H', '6TVE', '6TVG', '6TVX', '6TW0', '6TWA', '6TWF', '6VC9', '6VCA', '6XUE', '6XUG', '6XUQ', '6YE1', '6YE2', '6Z9B', '6Z9D', '7BBJ', '7JV8', '7JV9', '7P9N', '7P9R', '7P9T', '7PA4', '7PB5', '7PBA', '7PBB', '7PBY', '7PCP', '7PD9', '7QGA', '7QGL', '7QGM', '7QGO']"
19,P05067,3,Unclassified,Unclassified,Unclassified,"[508, 290, 112]","[7885.547658826051, 675.3718316498359, 868.9053807138414]","[25, 394, 1]","[13, 498, 6]","[-69.7, 11.0, 17.8]","['1AAP', '1AMB', '1AMC', '1AML', '1BA4', '1BA6', '1BJB', '1BJC', '1BRC', '1CA0', '1HZ3', '1IYT', '1MWP', '1OWT', '1QCM', '1QWP', '1QXC', '1QYT', '1TAW', '1TKN', '1X11', '1Z0Q', '1ZE7', '1ZE9', '1ZJD', '2BEG', '2BP4', '2FJZ', '2FK1', '2FK2', '2FK3', '2FKL', '2FMA', '2G47', '2IPU', '2LFM', '2LLM', '2LMN', '2LMO', '2LMP', '2LMQ', '2LNQ', '2LOH', '2LP1', '2LZ3', '2LZ4', '2M4J', '2M9R', '2M9S', '2MGT', '2MJ1', '2MPZ', '2MVX', '2MXU', '2NAO', '2OTK', '2R0W', '2WK3', '2Y29', '2Y2A', '2Y3J', '2Y3K', '2Y3L', '3AYU', '3BAE', '3BKJ', '3DXC', '3DXD', '3DXE', '3GCI', '3IFL', '3IFN', '3IFO', '3IFP', '3JQ5', '3JQL', '3JTI', '3KTM', '3L33', '3L81', '3MOQ', '3MXC', '3MXY', '3NYJ', '3NYL', '3OVJ', '3OW9', '3PZZ', '3Q2X', '3SV1', '3U0T', '3UMH', '3UMI', '3UMK', '4HIX', '4JFN', '4M1C', '4MDR', '4MVI', '4MVK', '4MVL', '4NGE', '4OJF', '4ONF', '4ONG', '4PQD', '4PWQ', '4XXD', '5AEF', '5AM8', '5AMB', '5BUO', '5C67', '5CSZ', '5HOW', '5HOX', '5HOY', '5KK3', '5LFY', '5LV0', '5MY4', '5MYO', '5MYX', '5ONP', '5ONQ', '5OQV', '5TXD', '5VOS', '5VZY', '5W3P', '6CO3', '6GFI', '6ITU', '6IYC', '6NB9', '6O4J', '6OC9', '6OIZ', '6RHY', '6SHS', '6SZF', '6TI5', '6TI6', '6TI7', '6W0O', '6WXM', '6XOV', '6YHF', '6YHI', '6YHO', '6YHP', '6YHX', '7B3J', '7B3K', '7E6P', '7JXN', '7JXO', '7O1Q', '7OW1', '7OXN', '7Q4B', '7Q4M', '7RTZ', '7U4P', '7WVY', '7Y3J', '8AZS', '8AZT', '8BFZ', '8BG0', '8C3H', '8EZD', '8EZE']"
20,P30542,1,Receptors,GPCR,GPCR;Rhodopsin,[106],[1551.9110885864284],[1382],[697],[21.5],"['5N2S', '5UEN', '6D9H', '7LD3', '7LD4']"
21,P29274,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['2YDO', '2YDV', '3EML', '3PWH', '3QAK', '3REY', '3RFM', '3UZA', '3UZC', '3VG9', '3VGA', '4EIY', '4UG2', '4UHR', '5G53', '5IU4', '5IU7', '5IU8', '5IUA', '5IUB', '5JTB', '5K2A', '5K2B', '5K2C', '5K2D', '5MZJ', '5MZP', '5N2R', '5NLX', '5NM2', '5NM4', '5OLG', '5OLH', '5OLO', '5OLV', '5OLZ', '5OM1', '5OM4', '5UIG', '5UVI', '5VRA', '5WF5', '5WF6', '6AQF', '6GDG', '6GT3', '6JZH', '6LPJ', '6LPK', '6LPL', '6MH8', '6PS7', '6S0L', '6S0Q', '6WQA', '6ZDR', '6ZDV', '7ARO', '7EZC', '7PX4', '7PYR', '7RM5', '7T32', '8CU6', '8CU7', '8DU3', '8GNE', '8GNG']"
22,P29275,1,Receptors,GPCR,GPCR;Rhodopsin,[104],[1569.2179673746764],[807],[336],[41.5999],"['8HDO', '8HDP']"
23,Q9NS82,0,Transporters,SLC,SLC;APC;SLC7,[],[],[],[],[],[]
24,Q15758,0,Transporters,SLC,SLC;Other;SLC1,[],[],[],[],[],"['5LLM', '5LLU', '5LM4', '5MJU', '6GCT', '6MP6', '6MPB', '6RVX', '6RVY', '7BCQ', '7BCS', '7BCT']"
25,O95477,5,Transporters,Active_transporters,Active_transporters;ABCA,"[495, 144, 629, 859, 18]","[5378.024395839541, 1035.822076908516, 1082.7520412399192, 1455.404465075709, 1793.3515985120089]","[0, 0, 113, 87, 1]","[0, 0, 346, 4828, 9]","[162.0, 32.4, 6.4, 1.9, 24.8]","['5XJY', '7ROQ', '7TBW', '7TBY', '7TBZ', '7TC0', '7TDT']"
26,Q9BZC7,5,Transporters,Active_transporters,Active_transporters;ABCA,"[15, 930, 891, 1535, 485]","[1228.228918977623, 1478.040803697658, 785.7561498195795, 1977.029273290002, 1491.656311117938]","[50, 11, 41, 0, 1]","[56, 2006, 123, 0, 0]","[20.2, 4.39999, 10.3999, 14.4999, 96.3999]",[]
27,Q99758,4,Transporters,Active_transporters,Active_transporters;ABCA,"[620, 1327, 583, 910]","[1036.0043668526132, 2149.2628241626685, 901.7191220551142, 1525.0176979933926]","[8, 669, 0, 12]","[54, 143, 9, 21]","[-15.8, 20.8, 10.2999, -4.3]","['7W01', '7W02']"
28,P78363,5,Transporters,Active_transporters,Active_transporters;ABCA,"[1726, 874, 1673, 506, 191]","[4083.1917733510886, 1372.6713982453114, 1043.5684299052841, 5246.243310667708, 2170.3551281730206]","[372, 4, 246, 16, 51]","[422, 600, 130, 2, 92]","[41.0999, 2.9, 10.5, 211.7, 73.5999]","['7E7I', '7E7O', '7E7Q', '7LKP', '7LKZ', '7M1P', '7M1Q']"
29,Q8WWZ7,3,Transporters,Active_transporters,Active_transporters;ABCA,"[844, 432, 579]","[869.5195426850712, 814.8833679296956, 1284.5221868950307]","[366, 60, 96]","[783, 278, 542]","[10.2, 18.3, -4.7]",[]
30,Q8N139,4,Transporters,Active_transporters,Active_transporters;ABCA,"[835, 17, 121, 971]","[1214.6196171724612, 1147.027087677642, 1117.1703219401923, 1153.7499020308517]","[11, 6, 1770, 0]","[60, 1540, 2025, 0]","[16.1, 3.0, -8.5, -16.9]",[]
31,Q8IZY2,3,Transporters,Active_transporters,Active_transporters;ABCA,"[1731, 545, 393]","[2306.4196391801916, 1257.4455367305359, 5356.751741139814]","[88, 2758, 0]","[2109, 959, 13]","[35.5, 13.2, 228.5]","['8EDW', '8EE6', '8EEB', '8EOP']"
32,O94911,4,Transporters,Active_transporters,Active_transporters;ABCA,"[14, 849, 433, 147]","[1324.9826035402361, 1299.2700251489105, 1189.9457036115446, 2186.080156882544]","[2, 42, 0, 62]","[1, 126, 28, 45]","[-10.5, 8.99999, 19.3, 5.49999]",[]
33,Q8IUA7,3,Transporters,Active_transporters,Active_transporters;ABCA,"[14, 846, 148]","[1329.6257611269577, 794.9697429408576, 1133.4042110894088]","[85, 308, 0]","[98, 899, 8]","[-8.9, 10.5999, -5.8]",[]
34,Q86UK0,7,Transporters,Active_transporters,Active_transporters;ABCA,"[1734, 1395, 12, 1065, 914, 437, 636]","[973.7451757009438, 586.8215824225415, 1206.9671241043557, 1071.0513539345488, 4877.627057689892, 1522.0657644518528, 2762.4499320422537]","[3, 201, 24, 0, 257, 0, 0]","[721, 1795, 28, 0, 350, 0, 26]","[-11.399, 3.5, 3.69999, 17.3, 82.5999, 19.4, 24.7]",[]
35,Q86UQ4,5,Transporters,Active_transporters,Active_transporters;ABCA,"[396, 1079, 1210, 351, 465]","[10043.827241755467, 3956.047446225388, 1946.9223436930997, 1063.3179939444346, 2055.850087639318]","[20, 0, 6, 39, 5]","[36, 0, 2, 46, 8]","[124.599, 42.7999, 29.3, 5.8, 28.5]",[]
36,Q2M3G0,1,Transporters,Active_transporters,Active_transporters;ABCB,[809],[1478.55994218739],[10],[483],[22.8],[]
37,Q9NP78,2,Transporters,Active_transporters,Active_transporters;ABCB,"[301, 398]","[1355.1599280836351, 2365.7272846412657]","[1127, 3]","[2330, 144]","[35.4, 6.3]",[]
38,O95342,2,Transporters,Active_transporters,Active_transporters;ABCB,"[977, 872]","[1484.649589873071, 899.6297690150049]","[37, 1740]","[838, 1218]","[12.1, 3.39999]","['6LR0', '7DV5', '7E1A']"
39,O60706,1,Transporters,Active_transporters,Active_transporters;ABCC,[286],[1154.1635450635742],[109],[83],[23.9],[]
40,Q9UNQ0,0,Transporters,Active_transporters,Active_transporters;ABCG,[],[],[],[],[],"['5NJ3', '5NJG', '6ETI', '6FEQ', '6FFC', '6HBU', '6HCO', '6HIJ', '6HZM', '6VXF', '6VXH', '6VXI', '6VXJ', '7NEQ', '7NEZ', '7NFD', '7OJ8', '7OJH', '7OJI', '8BHT', '8BI0']"
41,Q9H172,1,Transporters,Active_transporters,Active_transporters;ABCG,[378],[1027.8775320789105],[0],[0],[9.3],[]
42,Q9H222,1,Transporters,Active_transporters,Active_transporters;ABCG,[370],[1354.1243660607852],[61],[251],[-12.5],"['5DO7', '7JR7', '7R87', '7R88', '7R89', '7R8A', '7R8B', '8CUB']"
43,O00400,0,Transporters,SLC,SLC;Other;SLC33,[],[],[],[],[],[]
44,Q9BYF1,2,Unclassified,Unclassified,Unclassified,"[51, 649]","[628.5461992226077, 1336.7321600646617]","[13, 401]","[22, 930]","[4.5, -2.5]","['1R42', '1R4L', '2AJF', '3D0G', '3D0H', '3D0I', '3KBH', '3SCI', '3SCJ', '3SCK', '3SCL', '6ACG', '6ACJ', '6ACK', '6CS2', '6LZG', '6M0J', '6M17', '6M18', '6M1D', '6VW1', '7A91', '7A92', '7A94', '7A95', '7A96', '7A97', '7A98', '7BH9', '7CT5', '7DDO', '7DDP', '7DF4', '7DMU', '7DQA', '7DRV', '7DWX', '7DX4', '7DX5', '7DX6', '7DX7', '7DX8', '7DX9', '7E7E', '7EDJ', '7EFP', '7EFR', '7EKC', '7EKE', '7EKF', '7EKG', '7EKH', '7FDG', '7FDH', '7FDI', '7FEM', '7JVO', '7KJ2', '7KJ3', '7KJ4', '7KMB', '7KMS', '7KMZ', '7KNB', '7KNE', '7KNH', '7KNI', '7L0N', '7L7F', '7LO4', '7MJM', '7MJN', '7NXC', '7P19', '7P55', '7P8I', '7P8J', '7PKI', '7R0Z', '7R10', '7R11', '7R12', '7R1A', '7RPV', '7SN0', '7SXX', '7SXY', '7SXZ', '7SY0', '7SY1', '7SY2', '7SY3', '7SY4', '7SY5', '7SY6', '7SY7', '7SY8', '7T9K', '7T9L', '7TEW', '7TEX', '7TEZ', '7TF0', '7TN0', '7U0N', '7UFK', '7V61', '7V7Z', '7V80', '7V81', '7V82', '7V83', '7V84', '7V85', '7V86', '7V87', '7V88', '7V89', '7V8A', '7V8B', '7VIB', '7VX4', '7VX5', '7VX9', '7VXA', '7VXB', '7VXC', '7VXD', '7VXF', '7VXK', '7VXM', '7W98', '7W99', '7W9B', '7W9C', '7W9I', '7WBL', '7WBP', '7WBQ', '7WGB', '7WGC', '7WHH', '7WK4', '7WK5', '7WK6', '7WNM', '7WPA', '7WPB', '7WPC', '7WS8', '7WS9', '7WSA', '7WVP', '7WVQ', '7XAZ', '7XB0', '7XB1', '7XBF', '7XBG', '7XBH', '7XCH', '7XCI', '7XCP', '7XID', '7XO7', '7XO8', '7XO9', '7XWA', '7Y75', '7Y76', '7Y9Z', '7YA0', '7YA1', '7YDI', '7YEG', '7YR2', '7YR3', '7ZDQ', '7ZF7', '8AQS', '8ASY', '8DF5', '8DLJ', '8DLK', '8DLM', '8DLN', '8DLP', '8DLQ', '8DLU', '8DLV', '8DM5', '8DM6', '8DV1', '8DV2', '8E7M']"
45,P22303,2,Unclassified,Unclassified,Unclassified,"[412, 595]","[2363.821966874505, 2184.0629441181836]","[262, 4]","[3144, 253]","[-12.299, -22.9]","['1B41', '1F8U', '1VZJ', '2X8B', '3LII', '4BDT', '4EY4', '4EY5', '4EY6', '4EY7', '4EY8', '4M0E', '4M0F', '4PQE', '5FOQ', '5FPQ', '5HF5', '5HF6', '5HF8', '5HF9', '5HFA', '5HQ3', '6CQT', '6CQU', '6CQV', '6CQW', '6CQX', '6CQY', '6CQZ', '6F25', '6NEA', '6NTG', '6NTH', '6NTK', '6NTL', '6NTM', '6NTN', '6NTO', '6O4W', '6O4X', '6O50', '6O52', '6O5R', '6O5S', '6O5V', '6O66', '6O69', '6U34', '6U37', '6U3P', '6WUV', '6WUY', '6WUZ', '6WV1', '6WVC', '6WVO', '6WVP', '6WVQ', '6ZWE', '7D9O', '7D9P', '7D9Q', '7E3D', '7E3H', '7RB5', '7RB6', '7RB7', '7XN1', '8DT2', '8DT4', '8DT5', '8DT7']"
46,P12821,4,Enzymes,Hydrolases,3.4.15,"[1224, 174, 195, 626]","[888.8479005980735, 1202.0100011777467, 1005.0961372035732, 871.7438678540018]","[0, 107, 5146, 3]","[11, 1951, 30946, 11]","[-4.5, -7.3, 7.6, -9.3999]","['1O86', '1O8A', '1UZE', '1UZF', '2C6F', '2C6N', '2IUL', '2IUX', '2OC2', '2XY9', '2XYD', '2YDM', '3BKK', '3BKL', '3L3N', '3NXQ', '4APH', '4APJ', '4BXK', '4BZR', '4BZS', '4C2N', '4C2O', '4C2P', '4C2Q', '4C2R', '4CA5', '4CA6', '4UFA', '4UFB', '5AM8', '5AM9', '5AMA', '5AMB', '5AMC', '6EN5', '6EN6', '6F9R', '6F9T', '6F9U', '6F9V', '6H5W', '6H5X', '6QS1', '6TT1', '6TT3', '6TT4', '6ZPQ', '6ZPT', '6ZPU', '7Q24', '7Q25', '7Q26', '7Q27', '7Q28', '7Q29', '7Q3Y', '7Q49', '7Q4C', '7Q4D', '7Q4E', '7Z6Z', '7Z70']"
47,Q9GZZ6,2,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,"[399, 175]","[1149.5839950318136, 921.7128382640716]","[1, 156]","[27, 134]","[10.8, 7.29999]",[]
48,Q15822,1,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,[473],[1089.8386597794333],[3],[37],[14.3],['5FJV']
49,P32297,1,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,[180],[1089.3115703453313],[263],[1026],[-4.1],"['4ZK4', '5SYO', '5TVC', '6PV7', '6PV8']"
50,P43681,2,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,"[572, 182]","[1185.849415857114, 956.9479330542781]","[2, 11]","[49, 625]","[9.9, 2.59999]","['2LLY', '5KXI', '6CNJ', '6CNK', '6UR8', '6USF']"
51,P30532,2,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,"[401, 352]","[1136.357696034728, 1126.9360208815178]","[0, 1593]","[16, 819]","[11.1, 22.6]",[]
52,Q15825,1,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,[436],[906.2073331893541],[0],[15],[17.5],[]
53,P36544,3,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,"[440, 143, 171]","[1193.9403744184146, 837.1254560661663, 967.7350374589652]","[3, 35, 0]","[12, 156, 181]","[8.4, -0.3, -1.3]","['2MAW', '5AFH', '5AFJ', '5AFK', '5AFL', '5AFM', '5AFN', '7EKI', '7EKP', '7EKT', '7KOO', '7KOQ', '7KOX', '7RPM', '8F4V']"
54,Q9UGM1,2,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,"[428, 176]","[1495.3940306738205, 773.2716157545917]","[1, 313]","[113, 927]","[8.1, 6.7]","['4D01', '4UXU', '4UY2', '6HY7']"
55,P02708,3,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,"[424, 320, 194]","[831.0451168031631, 1493.309719695994, 1223.5295230038919]","[0, 1533, 4]","[38, 394, 304]","[18.2, 28.6999, -0.7999]","['4ZJS', '5HBT']"
56,P17787,0,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,[],[],[],[],[],"['2K58', '2K59', '2KSR', '2LM2', '5KXI', '6CNJ', '6CNK', '6UR8', '6USF']"
57,Q05901,2,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,"[396, 339]","[1703.225704821108, 931.1459550201562]","[2, 203]","[215, 320]","[17.6, 37.5]",['8A5U']
58,P30926,2,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,"[428, 454]","[1422.359176720338, 944.9988272187074]","[4, 244]","[42, 612]","[9.1, 32.9]","['6PV7', '6PV8']"
59,P11230,2,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,"[440, 160]","[1205.3208907687801, 1399.3545736262179]","[6, 1254]","[8, 746]","[18.5, -0.3999]",[]
60,Q07001,2,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,"[439, 142]","[1869.2491802897068, 1547.97924963263]","[5, 33]","[449, 2817]","[9.1, -3.2]",[]
61,Q04844,3,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,"[346, 141, 235]","[1481.7680512780278, 1088.6279830549668, 819.8719067828404]","[745, 10, 301]","[212, 102, 461]","[40.4, 8.5, -4.3]",[]
62,P07510,1,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,[142],[1890.1060587765114],[3426],[4900],[8.79999],[]
63,Q16570,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['4NUU', '4NUV', '7P93']"
64,O00590,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
65,P25106,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['6K3F', '7SK3', '7SK4', '7SK5', '7SK6', '7SK7', '7SK8', '7SK9']"
66,Q9NPB9,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
67,P11229,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['5CXV', '6OIJ', '6WJC', '6ZFZ', '6ZG4', '6ZG9']"
68,P08172,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['3UON', '4MQS', '4MQT', '5YC8', '5ZK3', '5ZK8', '5ZKB', '5ZKC', '6OIK', '6U1N', '7T8X', '7T90', '7T94', '7T96']"
69,P20309,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['2CSA', '8E9W', '8E9Y', '8E9Z', '8EA0']"
70,P08173,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['5DSG', '6D9H', '6KP6', '7LD3', '7LD4', '7V68', '7V69', '7V6A', '8E9X']"
71,P08912,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],['6OL9']
72,Q01718,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],['8GY7']
73,P36896,2,Receptors,Kinase,Kinase;Act.TGFB,"[253, 55]","[3332.0732339411156, 1878.7912831613041]","[67, 12]","[82, 86]","[-39.8, 9.6]","['7MRZ', '7OLY']"
74,Q8NER5,2,Receptors,Kinase,Kinase;Act.TGFB,"[241, 49]","[4304.910450580078, 1466.7091565663486]","[0, 12]","[38, 38]","[-42.7, 28.7]",[]
75,P37023,2,Receptors,Kinase,Kinase;Act.TGFB,"[247, 54]","[3716.146704551011, 2754.346562250717]","[19, 3]","[1136, 22]","[-17.199, -23.199]","['2LCR', '3MY0', '4FAO', '6SF1', '6SF2', '6SF3', '7PPC']"
76,Q04771,2,Receptors,Kinase,Kinase;Act.TGFB,"[254, 341]","[3579.643146274229, 1419.0455721726903]","[34, 14]","[233, 92]","[-55.0, 0.5]","['3H9R', '3MTF', '3OOM', '3Q4U', '4BGG', '4C02', '4DYM', '5OXG', '5OY6', '5S75', '5S76', '5S77', '5S78', '5S79', '5S7A', '5S7B', '5S7C', '5S7D', '5S7E', '5S7F', '5S7G', '5S7H', '5S7I', '5S7J', '5S7K', '5S7L', '5S7M', '5S7N', '5S7O', '5S7P', '5S7Q', '5S7R', '5S7S', '5S7T', '5S7U', '5S7V', '5S7W', '5S7X', '5S7Y', '5S7Z', '5S80', '5S81', '5S82', '5S83', '5S84', '5S85', '5S86', '5S87', '5S88', '5S89', '5S8A', '5S8B', '5S9K', '6ACR', '6EIX', '6GI6', '6GIN', '6GIP', '6I1S', '6JUX', '6SRH', '6SZM', '6T6D', '6T8N', '6TN8', '6UNQ', '6UNR', '6UNS', '6Z36', '6ZGC', '7A21', '7C3G', '7NNS', '8C7W', '8C7Z']"
77,O14672,2,Enzymes,Hydrolases,3.4.24,"[630, 106]","[2379.9259259571845, 2019.9023167378805]","[0, 0]","[0, 0]","[-28.2, -45.7]","['6BDZ', '6BE6']"
78,O75078,3,Enzymes,Hydrolases,3.4.24,"[346, 438, 364]","[1609.7864005080328, 765.2277810830949, 2281.1817903454084]","[0, 0, 28]","[0, 21, 41]","[1.9, -1.3999, 12.0999]",[]
79,O43184,3,Enzymes,Hydrolases,3.4.24,"[88, 47, 629]","[2336.4263093078403, 791.9689401802618, 2408.186878981894]","[0, 1846, 0]","[0, 529, 0]","[-28.999, 19.2, 0.39999]",[]
80,Q13444,2,Enzymes,Hydrolases,3.4.24,"[426, 321]","[1632.6397417336466, 2012.1183421994583]","[99, 0]","[855, 0]","[-29.799, 11.3]",[]
81,P78536,3,Enzymes,Hydrolases,3.4.24,"[570, 86, 351]","[2197.6355940090534, 2124.1473423009984, 2865.4937832290548]","[151, 0, 4]","[673, 2, 20]","[-16.699, -39.199, -7.5999]","['1BKC', '1ZXC', '2A8H', '2DDF', '2FV5', '2FV9', '2I47', '2M2F', '2OI0', '3B92', '3CKI', '3E8R', '3EDZ', '3EWJ', '3G42', '3KMC', '3KME', '3L0T', '3L0V', '3LE9', '3LEA', '3LGP', '3O64']"
82,Q9Y3Q7,5,Enzymes,Hydrolases,3.4.24,"[645, 547, 209, 323, 356]","[774.6141618003202, 764.4282263602089, 3161.3113834788255, 2330.527096436099, 1248.2424155847698]","[1, 31, 318, 0, 156]","[27, 94, 443, 0, 1384]","[0.89999, 0.6, -8.6, 18.5999, -3.4999]",[]
83,Q9H013,1,Enzymes,Hydrolases,3.4.24,[688],[682.3304593775374],[562],[1500],[-2.2],[]
84,P35348,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
85,P35368,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
86,P25100,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
87,O43506,3,Enzymes,Hydrolases,3.4.24,"[645, 246, 398]","[766.9632201359946, 1649.6908328237416, 1486.2019632799838]","[1659, 185, 53]","[375, 133, 125]","[8.6, -19.0, -1.8]",[]
88,Q9UKJ8,3,Enzymes,Hydrolases,3.4.24,"[247, 128, 13]","[2849.988472079809, 1305.898009946095, 1742.4917344815315]","[9, 607, 12]","[8, 1237, 136]","[-23.499, 7.39999, 28.3]",[]
89,Q9P0K1,2,Enzymes,Hydrolases,3.4.24,"[701, 347]","[1158.8410274589191, 2483.535263821631]","[3, 0]","[21, 0]","[2.69999, 1.19999]","['3G5C', '5Y2Z', '5Y31', '7CQF']"
90,O75077,3,Enzymes,Hydrolases,3.4.24,"[758, 167, 248]","[1273.711229657233, 2966.6420129227176, 855.6581377657321]","[0, 6, 5]","[0, 17, 169]","[-1.2, -29.099, -4.5]",[]
91,Q9UKQ2,2,Enzymes,Hydrolases,3.4.24,"[310, 232]","[3189.7474512051526, 769.674686091704]","[0, 0]","[0, 0]","[0.79999, -7.4]",[]
92,Q9UKF5,3,Enzymes,Hydrolases,3.4.24,"[568, 199, 80]","[2394.9572832517765, 2190.815041217733, 1155.0538569075638]","[40, 0, 1]","[2746, 14, 8]","[-13.2, -15.7, -1.7]",[]
93,P08913,1,Receptors,GPCR,GPCR;Rhodopsin,[230],[771.1743117701118],[8],[50],[23.7],"['1HLL', '1HO9', '1HOD', '1HOF', '6K42', '6KUX', '6KUY', '7EJ0', '7EJ8', '7EJA', '7EJK', '7W6P', '7W7E']"
94,P18089,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['6K41', '6K42']"
95,P18825,1,Receptors,GPCR,GPCR;Rhodopsin,[109],[991.640618298059],[1],[0],[38.5],['6KUW']
96,Q9UKF2,4,Enzymes,Hydrolases,3.4.24,"[533, 243, 274, 104]","[708.282147876386, 3019.091484050816, 1164.3814782066388, 838.8874629087908]","[52, 17, 230, 2383]","[582, 112, 155, 2253]","[11.7999, -39.499, -2.1, 10.3]",[]
